CVE,Localization_Function_name,Localization_File_name,Localization_Vulnerable_OS_component,CWE_Weakness_Type,Reasoning_root_cause,Reasoning_secure_coding_violation,Reasoning_mitigation,Reasoning_cia_impact,Reasoning_exploit_expl,Exploit_Exploit_Code,Exploit_exploited_versions,Exploit_abusable_interfaces,Exploit_exploit_steps,Exploit_privs_req,Exploit_exploit_privs,Exploit_remote_exploitability,Exploit_crash_dump,Patch_patch_expl,Patch_patch_date,Patch_patched_versions,Patch_Code_diff,Patch_Patch_code,SCORES_score_explain
CVE-2021-3609,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0
CVE-2013-2234,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0
CVE-2012-2313,5.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0
CVE-2022-47946,5.0,1.0,3.0,4.0,5.0,5.0,1.0,3.0,1.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,1.0,5.0,1.0,1.0,5.0,5.0,3.0
CVE-2014-3144,2.0,5.0,3.0,2.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,2.0,5.0,3.0,5.0,5.0,1.0,5.0,1.0,4.0,3.0,1.0,5.0
CVE-2024-1086,3.0,1.0,5.0,3.0,4.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0
CVE-2013-6432,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0
CVE-2018-1095,3.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,3.0,5.0
CVE-2019-7221,3.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,5.0,4.0,2.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0
CVE-2013-7339,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0
CVE-2014-2309,5.0,3.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0
CVE-2010-4648,5.0,5.0,3.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0
CVE-2022-28356,1.0,5.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0
CVE-2011-2482,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0
CVE-2016-5696,1.0,3.0,3.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0
CVE-2012-2390,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,3.0
CVE-2011-1160,5.0,3.0,5.0,5.0,5.0,5.0,3.0,,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0
CVE-2012-1146,5.0,5.0,5.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0
CVE-2013-4299,1.0,5.0,5.0,1.0,3.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,4.0
CVE-2013-1929,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,2.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,3.0
CVE-2021-43267,5.0,3.0,5.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,5.0,1.0,5.0,1.0,,1.0,3.0,1.0,1.0,1.0,5.0,3.0
CVE-2022-29582,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0
CVE-2014-7826,1.0,5.0,3.0,1.0,5.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,5.0,5.0
CVE-2022-42722,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0
CVE-2016-7910,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0
CVE-2011-4913,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
CVE-2019-3701,5.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0
CVE-2021-38300,1.0,3.0,5.0,1.0,5.0,3.0,1.0,5.0,4.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0
CVE-2021-3573,3.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,5.0,3.0
CVE-2014-0155,3.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0
CVE-2011-1759,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,5.0,4.0
CVE-2021-33909,1.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0
CVE-2021-44879,1.0,5.0,4.0,1.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0
CVE-2014-5045,5.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0
CVE-2021-45868,2.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
CVE-2013-1798,5.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0
CVE-2022-34918,1.0,5.0,5.0,3.0,2.0,3.0,1.0,4.0,5.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
CVE-2019-9162,2.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
CVE-2022-1198,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,2.0,5.0,1.0,5.0
CVE-2019-15921,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,3.0,2.0,3.0,5.0,5.0,3.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0
CVE-2012-2375,2.0,5.0,5.0,1.0,,5.0,1.0,5.0,1.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0
CVE-2020-12659,1.0,1.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0
CVE-2013-7027,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,3.0,3.0
CVE-2021-3744,4.0,5.0,5.0,2.0,4.0,4.0,2.0,,1.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0
CVE-2021-43389,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0,1.0,5.0
CVE-2011-1833,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0
CVE-2014-7283,3.0,5.0,5.0,1.0,4.0,3.0,1.0,5.0,5.0,1.0,2.0,,3.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0
CVE-2021-37576,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,3.0
CVE-2013-2058,1.0,1.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0
CVE-2021-3753,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0
CVE-2022-41674,3.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0
CVE-2010-4242,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0
CVE-2012-1583,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,2.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0
CVE-2013-2237,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,3.0,4.0
CVE-2020-12464,1.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,1.0,5.0,1.0,4.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
CVE-2019-14816,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0
CVE-2019-13272,1.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0
CVE-2014-0196,1.0,1.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0
CVE-2013-2094,3.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0
CVE-2010-2653,3.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0
CVE-2018-7492,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0
CVE-2011-2906,5.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0
CVE-2023-4921,2.0,2.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
CVE-2022-25636,5.0,3.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0
CVE-2013-1767,1.0,5.0,5.0,3.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
CVE-2010-3081,1.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,1.0,2.0,4.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
CVE-2016-9313,5.0,5.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,5.0
CVE-2010-2803,1.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0
CVE-2010-1173,4.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0
CVE-2023-44466,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0
CVE-2014-3610,1.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,2.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0
